Brand,Model_No,SubmitStatus,Config,Country,Power Input (kW),Cooling Capacity (kW),Refrigerant,Type,Variable Output Compressor,IMG
PANASONIC,S-140PE1R5B/U-140PZ2R5,Approved,Ducted,Malaysia,4.44,14,R32,Reverse Cycle,TRUE,http://via.placeholder.com/150/ddff898dab82?text=PANASONICS-140PE1R5B/U-140PZ2R5
PANASONIC,S-140PF1E5B/U-140PZ2R5,Approved,Ducted,Malaysia,4.4,14,R32,Reverse Cycle,TRUE,http://via.placeholder.com/150/0f70cbf076e20?text=PANASONICS-140PF1E5B/U-140PZ2R5
Braemar,AOCF10C-S/TCCF10C1S,Approved,Ducted,Thailand,2.89,10.1,R410A,Cooling Only,,http://via.placeholder.com/150/26edd254fc509?text=BraemarAOCF10C-S/TCCF10C1S
Braemar,AOCF12C-S/TCCF12C1S,Approved,Ducted,Thailand,3.53,11.8,R410A,Cooling Only,,http://via.placeholder.com/150/e58aab409d92?text=BraemarAOCF12C-S/TCCF12C1S
Braemar,AOCF15C-S/TCCF15C1S,Approved,Ducted,Thailand,4.27,14.8,R410A,Cooling Only,,http://via.placeholder.com/150/19886d4fcd64?text=BraemarAOCF15C-S/TCCF15C1S
Braemar,AOCF18C-S/TCCF18C1S,Approved,Ducted,Thailand,5.05,17.8,R410A,Cooling Only,,http://via.placeholder.com/150/06c161133b68?text=BraemarAOCF18C-S/TCCF18C1S
Braemar,AOCF18C-S/TCCF18C3S,Approved,Ducted,Thailand,4.99,17.8,R410A,Cooling Only,,http://via.placeholder.com/150/f62455ca7c44?text=BraemarAOCF18C-S/TCCF18C3S
Braemar,AOCF21C-S/TCCF21C3S,Approved,Ducted,Thailand,5.89,21.1,R410A,Cooling Only,,http://via.placeholder.com/150/c4b5b2313edcd?text=BraemarAOCF21C-S/TCCF21C3S
PANASONIC,S-100PU2E5B/U-100PZ2R8,Approved,Non Ducted,Malaysia,2.62,10,R32,Reverse Cycle,TRUE,http://via.placeholder.com/150/cb12039014b20?text=PANASONICS-100PU2E5B/U-100PZ2R8
Braemar,AOCF23C-S/TCCF23C3S,Approved,Ducted,Thailand,6.73,23.3,R410A,Cooling Only,,http://via.placeholder.com/150/375b0a473497?text=BraemarAOCF23C-S/TCCF23C3S
PANASONIC,S-100PT2E5B/U-100PZ2R8,Approved,Non Ducted,Malaysia,2.75,10,R32,Reverse Cycle,TRUE,http://via.placeholder.com/150/39c0bc1765cc?text=PANASONICS-100PT2E5B/U-100PZ2R8
PANASONIC,S-100PE1R5B/U-100PZ2R8,Approved,Ducted,Malaysia,3,10,R32,Reverse Cycle,TRUE,http://via.placeholder.com/150/86204c6e2a58?text=PANASONICS-100PE1R5B/U-100PZ2R8
PANASONIC,S-100PF1E5B/U-100PZ2R8,Approved,Ducted,Malaysia,2.73,10,R32,Reverse Cycle,TRUE,http://via.placeholder.com/150/17db7a799fd22?text=PANASONICS-100PF1E5B/U-100PZ2R8
PANASONIC,S-125PU2E5B/U-125PZ2R8,Approved,Non Ducted,Malaysia,3.49,12.5,R32,Reverse Cycle,TRUE,http://via.placeholder.com/150/a0793d82bfb27?text=PANASONICS-125PU2E5B/U-125PZ2R8
PANASONIC,S-125PT2E5B/U-125PZ2R8,Approved,Non Ducted,Malaysia,3.76,12.5,R32,Reverse Cycle,TRUE,http://via.placeholder.com/150/c9d74102b04e?text=PANASONICS-125PT2E5B/U-125PZ2R8
PANASONIC,S-125PE1R5B/U-125PZ2R8,Approved,Ducted,Malaysia,3.79,12.5,R32,Reverse Cycle,TRUE,http://via.placeholder.com/150/d0a332394c8c?text=PANASONICS-125PE1R5B/U-125PZ2R8
PANASONIC,S-125PF1E5B/U-125PZ2R8,Approved,Ducted,Malaysia,3.55,12.5,R32,Reverse Cycle,TRUE,http://via.placeholder.com/150/bae2aa412f64?text=PANASONICS-125PF1E5B/U-125PZ2R8
