Country,Date,No. of suspected cases,No. of probable cases,No. of confirmed cases,No. of confirmed- probable and suspected cases,No. of suspected deaths,No. of probable deaths,No. of confirmed deaths,No. of confirmed-probable and suspected deaths
Liberia,9/09/2015,0,0,6,6,0,0,2,2
Mali,9/09/2015,0,1,7,8,0,0,0,6
Spain,9/09/2015,0,0,1,1,0,0,0,0
Nigeria,9/09/2015,0,1,19,20,0,1,7,8
Nigeria,10/09/2015,0,1,19,20,0,1,7,8
Guinea,10/09/2015,1,452,3338,3791,0,452,2078,2530
Liberia,10/09/2015,0,0,6,6,0,0,2,2
Sierra Leone,10/09/2015,4708,287,8702,13697,158,208,3587,3953
Italy,10/09/2015,0,0,1,1,0,0,0,0
United States of America,10/09/2015,0,0,4,4,0,0,1,1
Liberia,10/09/2015,5636,1879,3151,10666,0,0,0,4806
United Kingdom,10/09/2015,0,0,1,1,0,0,0,0
Spain,10/09/2015,0,0,1,1,0,0,0,0
Mali,10/09/2015,0,1,7,8,0,0,0,6
Senegal,10/09/2015,0,0,1,1,0,0,0,0
Sierra Leone,11/09/2015,4711,287,8703,13701,158,208,3587,3953
Nigeria,11/09/2015,0,1,19,20,0,1,7,8
Mali,11/09/2015,0,1,7,8,0,0,0,6
Liberia,11/09/2015,5636,1879,3151,10666,0,0,0,4806
Italy,11/09/2015,0,0,1,1,0,0,0,0
Guinea,11/09/2015,1,452,3338,3791,0,452,2078,2530
Liberia,11/09/2015,0,0,6,6,0,0,2,2
United States of America,11/09/2015,0,0,4,4,0,0,1,1
Spain,11/09/2015,0,0,1,1,0,0,0,0
Senegal,11/09/2015,0,0,1,1,0,0,0,0
United Kingdom,11/09/2015,0,0,1,1,0,0,0,0
Spain,14/09/2015,0,0,1,1,0,0,0,0
Liberia,14/09/2015,0,0,6,6,0,0,2,2
Senegal,14/09/2015,0,0,1,1,0,0,0,0
Italy,14/09/2015,0,0,1,1,0,0,0,0
Guinea,14/09/2015,3,452,3338,3793,0,452,2078,2530
Nigeria,14/09/2015,0,1,19,20,0,1,7,8
Sierra Leone,14/09/2015,4757,287,8703,13747,158,208,3587,3953
United Kingdom,14/09/2015,0,0,1,1,0,0,0,0
United States of America,14/09/2015,0,0,4,4,0,0,1,1
Liberia,14/09/2015,5636,1879,3151,10666,0,0,0,4806
Mali,14/09/2015,0,1,7,8,0,0,0,6
Senegal,15/09/2015,0,0,1,1,0,0,0,0
Italy,15/09/2015,0,0,1,1,0,0,0,0
United States of America,15/09/2015,0,0,4,4,0,0,1,1
Spain,15/09/2015,0,0,1,1,0,0,0,0
Sierra Leone,15/09/2015,4765,287,8704,13756,158,208,3587,3953
United Kingdom,15/09/2015,0,0,1,1,0,0,0,0
Nigeria,15/09/2015,0,1,19,20,0,1,7,8
Liberia,15/09/2015,5636,1879,3151,10666,0,0,0,4806
Guinea,15/09/2015,2,452,3338,3792,0,452,2078,2530
Mali,15/09/2015,0,1,7,8,0,0,0,6
Liberia,15/09/2015,0,0,6,6,0,0,2,2
Guinea,16/09/2015,2,452,3338,3792,0,452,2078,2530
Liberia,16/09/2015,5636,1879,3151,10666,0,0,0,4806
Senegal,16/09/2015,0,0,1,1,0,0,0,0
United Kingdom,16/09/2015,0,0,1,1,0,0,0,0
Spain,16/09/2015,0,0,1,1,0,0,0,0
Italy,16/09/2015,0,0,1,1,0,0,0,0
Mali,16/09/2015,0,1,7,8,0,0,0,6
United States of America,16/09/2015,0,0,4,4,0,0,1,1
Liberia,16/09/2015,0,0,6,6,0,0,2,2
Sierra Leone,16/09/2015,4765,287,8704,13756,158,208,3587,3953
Nigeria,16/09/2015,0,1,19,20,0,1,7,8
Sierra Leone,17/09/2015,4788,287,8704,13779,158,208,3589,3955
Liberia,17/09/2015,0,0,6,6,0,0,2,2
Mali,17/09/2015,0,1,7,8,0,0,0,6
Spain,17/09/2015,0,0,1,1,0,0,0,0
Senegal,17/09/2015,0,0,1,1,0,0,0,0
Guinea,17/09/2015,4,452,3338,3794,0,452,2078,2530
Liberia,17/09/2015,5636,1879,3151,10666,0,0,0,4806
United States of America,17/09/2015,0,0,4,4,0,0,1,1
Nigeria,17/09/2015,0,1,19,20,0,1,7,8
United Kingdom,17/09/2015,0,0,1,1,0,0,0,0
Italy,17/09/2015,0,0,1,1,0,0,0,0
Liberia,18/09/2015,0,0,6,6,0,0,2,2
Senegal,18/09/2015,0,0,1,1,0,0,0,0
Nigeria,18/09/2015,0,1,19,20,0,1,7,8
United Kingdom,18/09/2015,0,0,1,1,0,0,0,0
Liberia,18/09/2015,5636,1879,3151,10666,0,0,0,4806
Spain,18/09/2015,0,0,1,1,0,0,0,0
Mali,18/09/2015,0,1,7,8,0,0,0,6
United States of America,18/09/2015,0,0,4,4,0,0,1,1
Guinea,18/09/2015,3,452,3339,3794,0,452,2079,2531
Sierra Leone,18/09/2015,4794,287,8704,13785,158,208,3589,3955
Italy,18/09/2015,0,0,1,1,0,0,0,0
Liberia,21/09/2015,5636,1879,3151,10666,0,0,0,4806
Nigeria,21/09/2015,0,1,19,20,0,1,7,8
Mali,21/09/2015,0,1,7,8,0,0,0,6
United Kingdom,21/09/2015,0,0,1,1,0,0,0,0
Guinea,21/09/2015,4,453,3340,3797,0,453,2079,2532
Senegal,21/09/2015,0,0,1,1,0,0,0,0
United States of America,21/09/2015,0,0,4,4,0,0,1,1
Liberia,21/09/2015,0,0,6,6,0,0,2,2
Italy,21/09/2015,0,0,1,1,0,0,0,0
Sierra Leone,21/09/2015,4820,287,8704,13811,158,208,3589,3955
Spain,21/09/2015,0,0,1,1,0,0,0,0
Nigeria,22/09/2015,0,1,19,20,0,1,7,8
Italy,22/09/2015,0,0,1,1,0,0,0,0
United States of America,22/09/2015,0,0,4,4,0,0,1,1
Liberia,22/09/2015,0,0,6,6,0,0,2,2
Spain,22/09/2015,0,0,1,1,0,0,0,0
Sierra Leone,22/09/2015,4832,287,8704,13823,158,208,3589,3955
Mali,22/09/2015,0,1,7,8,0,0,0,6
United Kingdom,22/09/2015,0,0,1,1,0,0,0,0
Guinea,22/09/2015,7,453,3340,3800,0,453,2079,2532
Liberia,22/09/2015,5636,1879,3151,10666,0,0,0,4806
Senegal,22/09/2015,0,0,1,1,0,0,0,0
Nigeria,23/09/2015,0,1,19,20,0,1,7,8
Spain,23/09/2015,0,0,1,1,0,0,0,0
United Kingdom,23/09/2015,0,0,1,1,0,0,0,0
Sierra Leone,23/09/2015,4832,287,8704,13823,158,208,3589,3955
Liberia,23/09/2015,0,0,6,6,0,0,2,2
Senegal,23/09/2015,0,0,1,1,0,0,0,0
United States of America,23/09/2015,0,0,4,4,0,0,1,1
Liberia,23/09/2015,5636,1879,3151,10666,0,0,0,4806
Mali,23/09/2015,0,1,7,8,0,0,0,6
Italy,23/09/2015,0,0,1,1,0,0,0,0
Guinea,23/09/2015,7,453,3340,3800,0,453,2079,2532
United Kingdom,24/09/2015,0,0,1,1,0,0,0,0
Nigeria,24/09/2015,0,1,19,20,0,1,7,8
Guinea,24/09/2015,8,453,3340,3801,0,453,2080,2533
Sierra Leone,24/09/2015,4855,287,8704,13846,158,208,3589,3955
Liberia,24/09/2015,0,0,6,6,0,0,2,2
Italy,24/09/2015,0,0,1,1,0,0,0,0
Liberia,24/09/2015,5636,1879,3151,10666,0,0,0,4806
Senegal,24/09/2015,0,0,1,1,0,0,0,0
United States of America,24/09/2015,0,0,4,4,0,0,1,1
Spain,24/09/2015,0,0,1,1,0,0,0,0
Mali,24/09/2015,0,1,7,8,0,0,0,6
Guinea,25/09/2015,4,453,3340,3797,0,453,2080,2533
United States of America,25/09/2015,0,0,4,4,0,0,1,1
Senegal,25/09/2015,0,0,1,1,0,0,0,0
Sierra Leone,25/09/2015,4864,287,8704,13855,158,208,3589,3955
Liberia,25/09/2015,5636,1879,3151,10666,0,0,0,4806
United Kingdom,25/09/2015,0,0,1,1,0,0,0,0
Mali,25/09/2015,0,1,7,8,0,0,0,6
Italy,25/09/2015,0,0,1,1,0,0,0,0
Spain,25/09/2015,0,0,1,1,0,0,0,0
Liberia,25/09/2015,0,0,6,6,0,0,2,2
Nigeria,25/09/2015,0,1,19,20,0,1,7,8
Liberia,28/09/2015,5636,1879,3151,10666,0,0,0,4806
Spain,28/09/2015,0,0,1,1,0,0,0,0
Sierra Leone,28/09/2015,4903,287,8704,13894,158,208,3589,3955
Liberia,28/09/2015,0,0,6,6,0,0,2,2
United States of America,28/09/2015,0,0,4,4,0,0,1,1
Mali,28/09/2015,0,1,7,8,0,0,0,6
Senegal,28/09/2015,0,0,1,1,0,0,0,0
Italy,28/09/2015,0,0,1,1,0,0,0,0
Guinea,28/09/2015,10,453,3342,3805,0,453,2080,2533
Nigeria,28/09/2015,0,1,19,20,0,1,7,8
United Kingdom,28/09/2015,0,0,1,1,0,0,0,0
Sierra Leone,29/09/2015,4920,287,8704,13911,158,208,3589,3955
Liberia,29/09/2015,0,0,6,6,0,0,2,2
Liberia,29/09/2015,5636,1879,3151,10666,0,0,0,4806
United States of America,29/09/2015,0,0,4,4,0,0,1,1
Spain,29/09/2015,0,0,1,1,0,0,0,0
Nigeria,29/09/2015,0,1,19,20,0,1,7,8
Mali,29/09/2015,0,1,7,8,0,0,0,6
Senegal,29/09/2015,0,0,1,1,0,0,0,0
Italy,29/09/2015,0,0,1,1,0,0,0,0
Guinea,29/09/2015,8,453,3344,3805,0,453,2080,2533
United Kingdom,29/09/2015,0,0,1,1,0,0,0,0
United States of America,30/09/2015,0,0,4,4,0,0,1,1
Mali,30/09/2015,0,1,7,8,0,0,0,6
Sierra Leone,30/09/2015,4920,287,8704,13911,158,208,3589,3955
Liberia,30/09/2015,5636,1879,3151,10666,0,0,0,4806
Italy,30/09/2015,0,0,1,1,0,0,0,0
Nigeria,30/09/2015,0,1,19,20,0,1,7,8
Senegal,30/09/2015,0,0,1,1,0,0,0,0
Guinea,30/09/2015,8,453,3344,3805,0,453,2080,2533
Spain,30/09/2015,0,0,1,1,0,0,0,0
United Kingdom,30/09/2015,0,0,1,1,0,0,0,0
Liberia,30/09/2015,0,0,6,6,0,0,2,2
Liberia,1/10/2015,5636,1879,3151,10666,0,0,0,4806
Italy,1/10/2015,0,0,1,1,0,0,0,0
United Kingdom,1/10/2015,0,0,1,1,0,0,0,0
Guinea,1/10/2015,11,453,3344,3808,0,453,2080,2533
Mali,1/10/2015,0,1,7,8,0,0,0,6
United States of America,1/10/2015,0,0,4,4,0,0,1,1
Spain,1/10/2015,0,0,1,1,0,0,0,0
Liberia,1/10/2015,0,0,6,6,0,0,2,2
Nigeria,1/10/2015,0,1,19,20,0,1,7,8
Sierra Leone,1/10/2015,4937,287,8704,13928,158,208,3589,3955
Senegal,1/10/2015,0,0,1,1,0,0,0,0
Senegal,2/10/2015,0,0,1,1,0,0,0,0
United States of America,2/10/2015,0,0,4,4,0,0,1,1
Nigeria,2/10/2015,0,1,19,20,0,1,7,8
Mali,2/10/2015,0,1,7,8,0,0,0,6
Spain,2/10/2015,0,0,1,1,0,0,0,0
Guinea,2/10/2015,12,453,3344,3809,0,453,2080,2533
Italy,2/10/2015,0,0,1,1,0,0,0,0
Liberia,2/10/2015,5636,1879,3151,10666,0,0,0,4806
Liberia,2/10/2015,0,0,6,6,0,0,2,2
United Kingdom,2/10/2015,0,0,1,1,0,0,0,0
Sierra Leone,2/10/2015,4940,287,8704,13931,158,208,3589,3955
Guinea,5/10/2015,7,453,3344,3804,0,453,2081,2534
United States of America,5/10/2015,0,0,4,4,0,0,1,1
United Kingdom,5/10/2015,0,0,1,1,0,0,0,0
Italy,5/10/2015,0,0,1,1,0,0,0,0
Liberia,5/10/2015,5636,1879,3151,10666,0,0,0,4806
Spain,5/10/2015,0,0,1,1,0,0,0,0
Senegal,5/10/2015,0,0,1,1,0,0,0,0
Sierra Leone,5/10/2015,4950,287,8704,13941,158,208,3589,3955
Liberia,5/10/2015,0,0,6,6,0,0,2,2
Nigeria,5/10/2015,0,1,19,20,0,1,7,8
Mali,5/10/2015,0,1,7,8,0,0,0,6
United Kingdom,6/10/2015,0,0,1,1,0,0,0,0
Liberia,6/10/2015,0,0,6,6,0,0,2,2
Senegal,6/10/2015,0,0,1,1,0,0,0,0
Italy,6/10/2015,0,0,1,1,0,0,0,0
Mali,6/10/2015,0,1,7,8,0,0,0,6
Spain,6/10/2015,0,0,1,1,0,0,0,0
Sierra Leone,6/10/2015,4954,287,8704,13945,158,208,3589,3955
United States of America,6/10/2015,0,0,4,4,0,0,1,1
Guinea,6/10/2015,7,453,3344,3804,0,453,2081,2534
Nigeria,6/10/2015,0,1,19,20,0,1,7,8
Liberia,6/10/2015,5636,1879,3151,10666,0,0,0,4806
Guinea,7/10/2015,7,453,3344,3804,0,453,2081,2534
Mali,7/10/2015,0,1,7,8,0,0,0,6
Sierra Leone,7/10/2015,4954,287,8704,13945,158,208,3589,3955
Nigeria,7/10/2015,0,1,19,20,0,1,7,8
Liberia,7/10/2015,0,0,6,6,0,0,2,2
Italy,7/10/2015,0,0,1,1,0,0,0,0
United States of America,7/10/2015,0,0,4,4,0,0,1,1
Liberia,7/10/2015,5636,1879,3151,10666,0,0,0,4806
United Kingdom,7/10/2015,0,0,1,1,0,0,0,0
Spain,7/10/2015,0,0,1,1,0,0,0,0
Senegal,7/10/2015,0,0,1,1,0,0,0,0
Italy,8/10/2015,0,0,1,1,0,0,0,0
Liberia,8/10/2015,0,0,6,6,0,0,2,2
Guinea,8/10/2015,2,453,3344,3799,0,453,2081,2534
Liberia,8/10/2015,5636,1879,3151,10666,0,0,0,4806
United Kingdom,8/10/2015,0,0,1,1,0,0,0,0
Senegal,8/10/2015,0,0,1,1,0,0,0,0
Nigeria,8/10/2015,0,1,19,20,0,1,7,8
Mali,8/10/2015,0,1,7,8,0,0,0,6
United States of America,8/10/2015,0,0,4,4,0,0,1,1
Sierra Leone,8/10/2015,4965,287,8704,13956,158,208,3589,3955
Spain,8/10/2015,0,0,1,1,0,0,0,0
Spain,9/10/2015,0,0,1,1,0,0,0,0
Nigeria,9/10/2015,0,1,19,20,0,1,7,8
Sierra Leone,9/10/2015,4966,287,8704,13957,158,208,3589,3955
United Kingdom,9/10/2015,0,0,1,1,0,0,0,0
Liberia,9/10/2015,0,0,6,6,0,0,2,2
Liberia,9/10/2015,5636,1879,3151,10666,0,0,0,4806
Senegal,9/10/2015,0,0,1,1,0,0,0,0
United States of America,9/10/2015,0,0,4,4,0,0,1,1
Italy,9/10/2015,0,0,1,1,0,0,0,0
Guinea,9/10/2015,3,453,3344,3800,0,453,2081,2534
Mali,9/10/2015,0,1,7,8,0,0,0,6
United Kingdom,13/10/2015,0,0,1,1,0,0,0,0
Liberia,13/10/2015,5636,1879,3151,10666,0,0,0,4806
Italy,13/10/2015,0,0,1,1,0,0,0,0
Sierra Leone,13/10/2015,4991,287,8704,13982,158,208,3589,3955
Liberia,13/10/2015,0,0,6,6,0,0,2,2
Nigeria,13/10/2015,0,1,19,20,0,1,7,8
Spain,13/10/2015,0,0,1,1,0,0,0,0
Guinea,13/10/2015,3,453,3344,3800,0,453,2081,2534
Senegal,13/10/2015,0,0,1,1,0,0,0,0
United States of America,13/10/2015,0,0,4,4,0,0,1,1
Mali,13/10/2015,0,1,7,8,0,0,0,6
United Kingdom,15/10/2015,0,0,1,1,0,0,0,0
Liberia,15/10/2015,5636,1879,3151,10666,0,0,0,4806
Senegal,15/10/2015,0,0,1,1,0,0,0,0
Guinea,15/10/2015,4,453,3345,3802,0,453,2081,2534
Mali,15/10/2015,0,1,7,8,0,0,0,6
Spain,15/10/2015,0,0,1,1,0,0,0,0
Nigeria,15/10/2015,0,1,19,20,0,1,7,8
Sierra Leone,15/10/2015,5001,287,8704,13992,158,208,3589,3955
Italy,15/10/2015,0,0,1,1,0,0,0,0
Liberia,15/10/2015,0,0,6,6,0,0,2,2
United States of America,15/10/2015,0,0,4,4,0,0,1,1
United States of America,16/10/2015,0,0,4,4,0,0,1,1
Liberia,16/10/2015,5636,1879,3151,10666,0,0,0,4806
Senegal,16/10/2015,0,0,1,1,0,0,0,0
Italy,16/10/2015,0,0,1,1,0,0,0,0
Liberia,16/10/2015,0,0,6,6,0,0,2,2
Mali,16/10/2015,0,1,7,8,0,0,0,6
Sierra Leone,16/10/2015,5001,287,8704,13992,158,208,3589,3955
Guinea,16/10/2015,5,453,3346,3804,0,453,2082,2535
Nigeria,16/10/2015,0,1,19,20,0,1,7,8
Spain,16/10/2015,0,0,1,1,0,0,0,0
United Kingdom,16/10/2015,0,0,1,1,0,0,0,0
Italy,20/10/2015,0,0,1,1,0,0,0,0
Nigeria,20/10/2015,0,1,19,20,0,1,7,8
Senegal,20/10/2015,0,0,1,1,0,0,0,0
United States of America,20/10/2015,0,0,4,4,0,0,1,1
Guinea,20/10/2015,3,453,3347,3803,0,453,2082,2535
Sierra Leone,20/10/2015,5010,287,8704,14001,158,208,3589,3955
United Kingdom,20/10/2015,0,0,1,1,0,0,0,0
Spain,20/10/2015,0,0,1,1,0,0,0,0
Liberia,20/10/2015,0,0,6,6,0,0,2,2
Liberia,20/10/2015,5636,1879,3151,10666,0,0,0,4806
Mali,20/10/2015,0,1,7,8,0,0,0,6
Liberia,22/10/2015,0,0,6,6,0,0,2,2
Spain,22/10/2015,0,0,1,1,0,0,0,0
Italy,22/10/2015,0,0,1,1,0,0,0,0
Nigeria,22/10/2015,0,1,19,20,0,1,7,8
Liberia,22/10/2015,5636,1879,3151,10666,0,0,0,4806
Sierra Leone,22/10/2015,5040,287,8704,14031,158,208,3589,3955
United Kingdom,22/10/2015,0,0,1,1,0,0,0,0
Senegal,22/10/2015,0,0,1,1,0,0,0,0
Guinea,22/10/2015,1,453,3347,3801,0,453,2082,2535
Mali,22/10/2015,0,1,7,8,0,0,0,6
United States of America,22/10/2015,0,0,4,4,0,0,1,1
Mali,23/10/2015,0,1,7,8,0,0,0,6
Nigeria,23/10/2015,0,1,19,20,0,1,7,8
Senegal,23/10/2015,0,0,1,1,0,0,0,0
United Kingdom,23/10/2015,0,0,1,1,0,0,0,0
Guinea,23/10/2015,1,453,3347,3801,0,453,2082,2535
Spain,23/10/2015,0,0,1,1,0,0,0,0
Liberia,23/10/2015,5636,1879,3151,10666,0,0,0,4806
United States of America,23/10/2015,0,0,4,4,0,0,1,1
Liberia,23/10/2015,0,0,6,6,0,0,2,2
Sierra Leone,23/10/2015,5047,287,8704,14038,158,208,3589,3955
Italy,23/10/2015,0,0,1,1,0,0,0,0
Sierra Leone,26/10/2015,5061,287,8704,14052,158,208,3589,3955
Guinea,26/10/2015,1,453,3350,3804,0,453,2082,2535
Italy,26/10/2015,0,0,1,1,0,0,0,0
United Kingdom,26/10/2015,0,0,1,1,0,0,0,0
United States of America,26/10/2015,0,0,4,4,0,0,1,1
Senegal,26/10/2015,0,0,1,1,0,0,0,0
Spain,26/10/2015,0,0,1,1,0,0,0,0
Liberia,26/10/2015,5636,1879,3151,10666,0,0,0,4806
Nigeria,26/10/2015,0,1,19,20,0,1,7,8
Mali,26/10/2015,0,1,7,8,0,0,0,6
Liberia,26/10/2015,0,0,6,6,0,0,2,2
Liberia,27/10/2015,0,0,6,6,0,0,2,2
Mali,27/10/2015,0,1,7,8,0,0,0,6
Guinea,27/10/2015,3,453,3350,3806,0,453,2082,2535
United Kingdom,27/10/2015,0,0,1,1,0,0,0,0
Sierra Leone,27/10/2015,5070,287,8704,14061,158,208,3589,3955
Spain,27/10/2015,0,0,1,1,0,0,0,0
Senegal,27/10/2015,0,0,1,1,0,0,0,0
Italy,27/10/2015,0,0,1,1,0,0,0,0
Nigeria,27/10/2015,0,1,19,20,0,1,7,8
United States of America,27/10/2015,0,0,4,4,0,0,1,1
Liberia,27/10/2015,5636,1879,3151,10666,0,0,0,4806
Sierra Leone,29/10/2015,5075,287,8704,14066,158,208,3589,3955
Nigeria,29/10/2015,0,1,19,20,0,1,7,8
Guinea,29/10/2015,5,453,3350,3808,0,453,2083,2536
Liberia,29/10/2015,0,0,6,6,0,0,2,2
Italy,29/10/2015,0,0,1,1,0,0,0,0
United Kingdom,29/10/2015,0,0,1,1,0,0,0,0
United States of America,29/10/2015,0,0,4,4,0,0,1,1
Mali,29/10/2015,0,1,7,8,0,0,0,6
Senegal,29/10/2015,0,0,1,1,0,0,0,0
Spain,29/10/2015,0,0,1,1,0,0,0,0
Liberia,29/10/2015,5636,1879,3151,10666,0,0,0,4806
Senegal,30/10/2015,0,0,1,1,0,0,0,0
United Kingdom,30/10/2015,0,0,1,1,0,0,0,0
Nigeria,30/10/2015,0,1,19,20,0,1,7,8
Italy,30/10/2015,0,0,1,1,0,0,0,0
Spain,30/10/2015,0,0,1,1,0,0,0,0
Sierra Leone,30/10/2015,5076,287,8704,14067,158,208,3589,3955
Liberia,30/10/2015,5636,1879,3151,10666,0,0,0,4806
Liberia,30/10/2015,0,0,6,6,0,0,2,2
United States of America,30/10/2015,0,0,4,4,0,0,1,1
Mali,30/10/2015,0,1,7,8,0,0,0,6
Guinea,30/10/2015,5,453,3350,3808,0,453,2083,2536
Nigeria,3/11/2015,0,1,19,20,0,1,7,8
Sierra Leone,3/11/2015,5098,287,8704,14089,158,208,3589,3955
Liberia,3/11/2015,0,0,6,6,0,0,2,2
United States of America,3/11/2015,0,0,4,4,0,0,1,1
Mali,3/11/2015,0,1,7,8,0,0,0,6
Guinea,3/11/2015,6,453,3351,3810,0,453,2083,2536
United Kingdom,3/11/2015,0,0,1,1,0,0,0,0
Liberia,3/11/2015,5636,1879,3151,10666,0,0,0,4806
Spain,3/11/2015,0,0,1,1,0,0,0,0
Senegal,3/11/2015,0,0,1,1,0,0,0,0
Italy,3/11/2015,0,0,1,1,0,0,0,0
Nigeria,5/11/2015,0,1,19,20,0,1,7,8
United Kingdom,5/11/2015,0,0,1,1,0,0,0,0
Mali,5/11/2015,0,1,7,8,0,0,0,6
Senegal,5/11/2015,0,0,1,1,0,0,0,0
Liberia,5/11/2015,0,0,6,6,0,0,2,2
Sierra Leone,5/11/2015,5113,287,8704,14104,158,208,3589,3955
Italy,5/11/2015,0,0,1,1,0,0,0,0
Spain,5/11/2015,0,0,1,1,0,0,0,0
Liberia,5/11/2015,5636,1879,3151,10666,0,0,0,4806
United States of America,5/11/2015,0,0,4,4,0,0,1,1
Guinea,5/11/2015,1,453,3351,3805,0,453,2083,2536
Italy,6/11/2015,0,0,1,1,0,0,0,0
United Kingdom,6/11/2015,0,0,1,1,0,0,0,0
Liberia,6/11/2015,5636,1879,3151,10666,0,0,0,4806
Sierra Leone,6/11/2015,5118,287,8704,14109,158,208,3589,3955
United States of America,6/11/2015,0,0,4,4,0,0,1,1
Liberia,6/11/2015,0,0,6,6,0,0,2,2
Senegal,6/11/2015,0,0,1,1,0,0,0,0
Guinea,6/11/2015,1,453,3351,3805,0,453,2083,2536
Mali,6/11/2015,0,1,7,8,0,0,0,6
Spain,6/11/2015,0,0,1,1,0,0,0,0
Nigeria,6/11/2015,0,1,19,20,0,1,7,8
United States of America,10/11/2015,0,0,4,4,0,0,1,1
Nigeria,10/11/2015,0,1,19,20,0,1,7,8
Guinea,10/11/2015,1,453,3351,3805,0,453,2083,2536
Italy,10/11/2015,0,0,1,1,0,0,0,0
Spain,10/11/2015,0,0,1,1,0,0,0,0
Liberia,10/11/2015,5636,1879,3151,10666,0,0,0,4806
Senegal,10/11/2015,0,0,1,1,0,0,0,0
United Kingdom,10/11/2015,0,0,1,1,0,0,0,0
Mali,10/11/2015,0,1,7,8,0,0,0,6
Sierra Leone,10/11/2015,5131,287,8704,14122,158,208,3589,3955
Liberia,10/11/2015,0,0,6,6,0,0,2,2
Italy,11/11/2015,0,0,1,1,0,0,0,0
Guinea,11/11/2015,1,453,3351,3805,0,453,2083,2536
United Kingdom,11/11/2015,0,0,1,1,0,0,0,0
Liberia,11/11/2015,5636,1879,3151,10666,0,0,0,4806
Sierra Leone,11/11/2015,5131,287,8704,14122,158,208,3589,3955
Mali,11/11/2015,0,1,7,8,0,0,0,6
United States of America,11/11/2015,0,0,4,4,0,0,1,1
Spain,11/11/2015,0,0,1,1,0,0,0,0
Liberia,11/11/2015,0,0,6,6,0,0,2,2
Nigeria,11/11/2015,0,1,19,20,0,1,7,8
Senegal,11/11/2015,0,0,1,1,0,0,0,0
United States of America,12/11/2015,0,0,4,4,0,0,1,1
Liberia,12/11/2015,5636,1879,3151,10666,0,0,0,4806
Senegal,12/11/2015,0,0,1,1,0,0,0,0
Sierra Leone,12/11/2015,5131,287,8704,14122,158,208,3589,3955
Spain,12/11/2015,0,0,1,1,0,0,0,0
Mali,12/11/2015,0,1,7,8,0,0,0,6
Liberia,12/11/2015,0,0,6,6,0,0,2,2
Nigeria,12/11/2015,0,1,19,20,0,1,7,8
Italy,12/11/2015,0,0,1,1,0,0,0,0
United Kingdom,12/11/2015,0,0,1,1,0,0,0,0
Guinea,12/11/2015,1,453,3351,3805,0,453,2083,2536
Mali,16/11/2015,0,1,7,8,0,0,0,6
United States of America,16/11/2015,0,0,4,4,0,0,1,1
Liberia,16/11/2015,0,0,6,6,0,0,2,2
Sierra Leone,16/11/2015,5131,287,8704,14122,158,208,3589,3955
Senegal,16/11/2015,0,0,1,1,0,0,0,0
Liberia,16/11/2015,5636,1879,3151,10666,0,0,0,4806
Nigeria,16/11/2015,0,1,19,20,0,1,7,8
Guinea,16/11/2015,1,453,3351,3805,0,453,2083,2536
Spain,16/11/2015,0,0,1,1,0,0,0,0
Italy,16/11/2015,0,0,1,1,0,0,0,0
United Kingdom,16/11/2015,0,0,1,1,0,0,0,0
United Kingdom,17/11/2015,0,0,1,1,0,0,0,0
United States of America,17/11/2015,0,0,4,4,0,0,1,1
Italy,17/11/2015,0,0,1,1,0,0,0,0
Liberia,17/11/2015,0,0,6,6,0,0,2,2
Guinea,17/11/2015,0,453,3351,3804,0,453,2083,2536
Sierra Leone,17/11/2015,5131,287,8704,14122,158,208,3589,3955
Senegal,17/11/2015,0,0,1,1,0,0,0,0
Liberia,17/11/2015,5636,1879,3151,10666,0,0,0,4806
Nigeria,17/11/2015,0,1,19,20,0,1,7,8
Mali,17/11/2015,0,1,7,8,0,0,0,6
Spain,17/11/2015,0,0,1,1,0,0,0,0
Liberia,20/11/2015,5636,1879,3151,10666,0,0,0,4806
Senegal,20/11/2015,0,0,1,1,0,0,0,0
Guinea,20/11/2015,0,453,3351,3804,0,453,2083,2536
Liberia,20/11/2015,0,0,6,6,0,0,2,2
Sierra Leone,20/11/2015,5131,287,8704,14122,158,208,3589,3955
Spain,20/11/2015,0,0,1,1,0,0,0,0
United States of America,20/11/2015,0,0,4,4,0,0,1,1
Mali,20/11/2015,0,1,7,8,0,0,0,6
United Kingdom,20/11/2015,0,0,1,1,0,0,0,0
Nigeria,20/11/2015,0,1,19,20,0,1,7,8
Italy,20/11/2015,0,0,1,1,0,0,0,0
United States of America,24/11/2015,0,0,4,4,0,0,1,1
Mali,24/11/2015,0,1,7,8,0,0,0,6
Liberia,24/11/2015,0,0,6,6,0,0,2,2
Nigeria,24/11/2015,0,1,19,20,0,1,7,8
Senegal,24/11/2015,0,0,1,1,0,0,0,0
Sierra Leone,24/11/2015,5131,287,8704,14122,158,208,3589,3955
United Kingdom,24/11/2015,0,0,1,1,0,0,0,0
Guinea,24/11/2015,0,453,3351,3804,0,453,2083,2536
Italy,24/11/2015,0,0,1,1,0,0,0,0
Spain,24/11/2015,0,0,1,1,0,0,0,0
Liberia,24/11/2015,5636,1879,3151,10666,0,0,0,4806
United States of America,26/11/2015,0,0,4,4,0,0,1,1
Italy,26/11/2015,0,0,1,1,0,0,0,0
Guinea,26/11/2015,0,453,3351,3804,0,453,2083,2536
United Kingdom,26/11/2015,0,0,1,1,0,0,0,0
