Country,Date,No. of suspected cases,No. of probable cases,No. of confirmed cases,No. of confirmed- probable and suspected cases,No. of suspected deaths,No. of probable deaths,No. of confirmed deaths,No. of confirmed-probable and suspected deaths
Mali,7/01/2015,0,1,7,8,0,0,0,6
United States of America,7/01/2015,0,0,4,4,0,0,1,1
Sierra Leone,7/01/2015,1819,287,7602,9780,158,208,2577,2943
Liberia,7/01/2015,3223,1816,3118,8157,0,0,0,3496
United Kingdom,8/01/2015,0,0,1,0,0,0,0,0
Mali,8/01/2015,0,1,7,0,0,0,0,6
Guinea,8/01/2015,17,282,2477,2776,0,282,1504,1786
Sierra Leone,8/01/2015,1984,287,7759,10030,158,208,2611,2977
Liberia,8/01/2015,3232,1816,3118,8166,0,0,0,3496
Mali,9/01/2015,0,1,7,0,0,0,0,6
Guinea,9/01/2015,18,282,2493,2793,0,282,1515,1797
United Kingdom,9/01/2015,0,0,1,0,0,0,0,0
Sierra Leone,9/01/2015,1984,287,7759,10030,158,208,2611,2977
Liberia,9/01/2015,3309,1831,3123,8263,0,0,0,3515
Liberia,12/01/2015,3322,1833,3123,8278,0,0,0,3515
United Kingdom,12/01/2015,0,0,1,0,0,0,0,0
Sierra Leone,12/01/2015,2041,287,7766,10094,158,208,2683,3049
Mali,12/01/2015,0,1,7,0,0,0,0,6
Guinea,12/01/2015,7,284,2508,2799,0,284,1523,1807
United Kingdom,13/01/2015,0,0,1,0,0,0,0,0
Mali,13/01/2015,1,1,7,0,0,0,0,6
Guinea,13/01/2015,7,284,2508,2799,0,284,1523,1807
Liberia,13/01/2015,3322,1833,3123,8278,0,0,0,3515
Sierra Leone,13/01/2015,2041,287,7766,10094,158,208,2683,3049
Liberia,14/01/2015,3365,1839,3127,8331,0,0,0,3538
United States of America,14/01/2015,0,0,4,4,0,0,1,1
Senegal,14/01/2015,0,0,1,1,0,0,0,0
Guinea,14/01/2015,8,284,2514,2806,0,284,1530,1814
Spain,14/01/2015,0,0,1,1,0,0,0,0
Nigeria,14/01/2015,0,1,19,20,0,1,7,8
Sierra Leone,14/01/2015,2051,287,7786,10124,158,208,2696,3062
Mali,14/01/2015,0,1,7,8,0,0,0,6
